fixture	retained	prototype
fixtures2/00324_tuple_structural_eq.fz	{"applied": 100, "products": 94}	{"applied": 102, "products": 94}
fixtures2/00325_tuple_eq_arity_mismatch.fz	{"applied": 100, "products": 95}	{"applied": 102, "products": 95}
fixtures2/00326_bitstring_structural_eq.fz	{"applied": 100, "products": 96}	{"applied": 102, "products": 96}
fixtures2/00327_map_eq_order_independent.fz	{"applied": 100, "products": 98}	{"applied": 102, "products": 98}
fixtures2/00328_map_eq_value_mismatch.fz	{"applied": 100, "products": 98}	{"applied": 102, "products": 98}
fixtures2/00329_heterogeneous_kinds_neq.fz	{"applied": 100, "products": 94}	{"applied": 102, "products": 94}
fixtures2/00330_nested_map_list_eq.fz	{"applied": 100, "products": 98}	{"applied": 102, "products": 98}
fixtures2/00331_neq_operator.fz	{"applied": 100, "products": 94}	{"applied": 102, "products": 94}
fixtures2/00333_float_dbg_render.fz	{"applied": 100, "products": 88}	{"applied": 102, "products": 88}
fixtures2/00334_float_arithmetic.fz	{"applied": 164, "products": 126}	{"applied": 169, "products": 126}
fixtures2/00335_mixed_int_float_arith.fz	{"applied": 164, "products": 126}	{"applied": 169, "products": 126}
fixtures2/00336_int_float_strict_eq.fz	{"applied": 100, "products": 90}	{"applied": 102, "products": 90}
fixtures2/00337_float_literal_eq.fz	{"applied": 100, "products": 90}	{"applied": 102, "products": 90}
fixtures2/00338_float_comparison.fz	{"applied": 100, "products": 90}	{"applied": 102, "products": 90}
fixtures2/00341_float_in_list_render.fz	{"applied": 100, "products": 84}	{"applied": 102, "products": 84}
fixtures2/00342_float_list_head_project.fz	{"applied": 69, "products": 71}	{"applied": 70, "products": 71}
fixtures2/00343_float_in_list_eq.fz	{"applied": 100, "products": 92}	{"applied": 102, "products": 92}
fixtures2/00346_self_apply_tail_call.fz	{"applied": 212, "products": 178}	{"applied": 220, "products": 178}
fixtures2/00347_compose_nontail_chain.fz	{"applied": 412, "products": 383}	{"applied": 423, "products": 383}
fixtures2/00348_dbg_returns_value.fz	{"applied": 164, "products": 123}	{"applied": 169, "products": 123}
fixtures2/00349_nil_not_empty_list.fz	{"applied": 68, "products": 65}	{"applied": 69, "products": 65}
fixtures2/00350_empty_list_not_nil.fz	{"applied": 68, "products": 65}	{"applied": 69, "products": 65}
fixtures2/00351_cons_clause_fallthrough.fz	{"applied": 159, "products": 173}	{"applied": 163, "products": 173}
fixtures2/00352_recursive_cons_clause.fz	{"applied": 164, "products": 179}	{"applied": 168, "products": 179}
fixtures2/00353_nil_vs_empty_list_dbg.fz	{"applied": 112, "products": 112}	{"applied": 114, "products": 112}
fixtures2/00354_make_resource_dtor.fz	{"applied": 152, "products": 121}	{"applied": 155, "products": 121}
fixtures2/00355_aliased_resource_dtor.fz	{"applied": 152, "products": 121}	{"applied": 155, "products": 121}
fixtures2/00356_two_distinct_resources.fz	{"applied": 154, "products": 131}	{"applied": 157, "products": 131}
fixtures2/00381_choose_closure_branch.fz	{"applied": 139, "products": 149}	{"applied": 142, "products": 149}
fixtures2/00382_add1_call_fuse.fz	{"applied": 186, "products": 135}	{"applied": 192, "products": 135}
fixtures2/00383_typetest_dead_branch_fold.fz	{"applied": 121, "products": 96}	{"applied": 123, "products": 96}
fixtures2/00384_closure_predicate_wrapper.fz	{"applied": 382, "products": 614}	{"applied": 390, "products": 614}
fixtures2/00385_tuple_destructure_demand.fz	{"applied": 125, "products": 126}	{"applied": 127, "products": 126}
fixtures2/00386_quicksort_return_shapes.fz	{"applied": 174, "products": 208}	{"applied": 176, "products": 208}
fixtures2/00387_empty_list_dispatch.fz	{"applied": 121, "products": 96}	{"applied": 123, "products": 96}
fixtures2/00388_wildcard_param_hole.fz	{"applied": 128, "products": 126}	{"applied": 130, "products": 126}
fixtures2/00389_poly_id_direct_call.fz	{"applied": 74, "products": 90}	{"applied": 75, "products": 90}
fixtures2/00391_poly_capture_ref.fz	{"applied": 95, "products": 136}	{"applied": 96, "products": 136}
fixtures2/00393_atom_pattern_dispatch.fz	{"applied": 74, "products": 86}	{"applied": 75, "products": 86}
fixtures2/00394_list_pattern_dispatch.fz	{"applied": 74, "products": 92}	{"applied": 75, "products": 92}
fixtures2/00395_list_head_binding.fz	{"applied": 74, "products": 93}	{"applied": 75, "products": 93}
fixtures2/00396_tuple_pattern_binding.fz	{"applied": 74, "products": 96}	{"applied": 75, "products": 96}
fixtures2/00397_nested_pattern_binding.fz	{"applied": 74, "products": 99}	{"applied": 75, "products": 99}
fixtures2/00398_nested_pattern_partition.fz	{"applied": 79, "products": 123}	{"applied": 80, "products": 123}
fixtures2/00399_tuple_tag_partition.fz	{"applied": 74, "products": 102}	{"applied": 75, "products": 102}
fixtures2/00400_tuple_arity_partition.fz	{"applied": 79, "products": 126}	{"applied": 80, "products": 126}
fixtures2/00401_guard_partition.fz	{"applied": 83, "products": 91}	{"applied": 84, "products": 91}
fixtures2/00402_map_pattern_binding.fz	{"applied": 74, "products": 92}	{"applied": 75, "products": 92}
fixtures2/00403_tail_fold_closure.fz	{"applied": 228, "products": 226}	{"applied": 235, "products": 226}
fixtures2/00404_enum_reduce_list.fz	{"applied": 407, "products": 415}	{"applied": 415, "products": 415}
fixtures2/00405_enum_reduce_operator_ref.fz	{"applied": 350, "products": 387}	{"applied": 356, "products": 387}
fixtures2/00406_enum_reduce_range.fz	{"applied": 568, "products": 590}	{"applied": 575, "products": 590}
fixtures2/00407_spawn_plain.fz	{"applied": 125, "products": 99}	{"applied": 127, "products": 99}
fixtures2/00408_recursive_sum_fixpoint.fz	{"applied": 188, "products": 149}	{"applied": 193, "products": 149}
fixtures2/00409_higher_order_named_ref.fz	{"applied": 214, "products": 165}	{"applied": 219, "products": 165}
fixtures2/00410_spawn_closure_capture.fz	{"applied": 303, "products": 248}	{"applied": 310, "products": 248}
fixtures2/00411_closure_distinct_captures.fz	{"applied": 258, "products": 277}	{"applied": 263, "products": 277}
fixtures2/00412_closure_with_captures.fz	{"applied": 181, "products": 140}	{"applied": 187, "products": 140}
fixtures2/00413_protocol_static_dispatch.fz	{"applied": 118, "products": 153}	{"applied": 119, "products": 153}
fixtures2/00418_enum_count_range.fz	{"applied": 1384, "products": 1310}	{"applied": 1469, "products": 1310}
fixtures2/00419_enum_take_mixed.fz	{"applied": 1534, "products": 1781}	{"applied": 1627, "products": 1781}
fixtures2/00420_enum_take_drop_split.fz	{"applied": 4233, "products": 9884}	{"applied": 4292, "products": 9884}
fixtures2/00422_protocol_impl_disjoint_spec.fz	{"applied": 120, "products": 151}	{"applied": 121, "products": 151}
fixtures2/00423_protocol_impl_compatible_spec.fz	{"applied": 120, "products": 151}	{"applied": 121, "products": 151}
fixtures2/00425_protocol_impl_match.fz	{"applied": 118, "products": 153}	{"applied": 119, "products": 153}
fixtures2/00426_closed_union_protocol_dispatch.fz	{"applied": 231, "products": 237}	{"applied": 236, "products": 237}
fixtures2/00427_single_impl_protocol.fz	{"applied": 143, "products": 168}	{"applied": 144, "products": 168}
fixtures2/00428_open_union_protocol.fz	{"applied": 231, "products": 240}	{"applied": 236, "products": 240}
fixtures2/00429_external_impl_residual.fz	{"applied": 213, "products": 217}	{"applied": 217, "products": 217}
fixtures2/00430_opaque_value_accessor.fz	{"applied": 219, "products": 187}	{"applied": 222, "products": 187}
